,Sub Div Code,Dtr No,DTR Name,Feeder No,Latitude,Longitude,Total Capacity_kVA,Load,Value
72,133,220,220-GUMRAH BAZAR,2,24.9535133,92.5436405,250.0,108.92999999999999,1
73,133,222,Gumrah Kandigram (Near Sitaram Mandir),2,24.9717386,92.5116168,100.0,86.46,1
74,133,225,225-DIGORKHAL,5,24.9899721,92.517014,25.0,21.19,1
75,133,229,229-RAJESHWARPUR II,5,24.9917735,92.4835377,16.0,20.69,-1
76,133,230,230-megenta te 16-kva,5,24.9967802,92.5714094,16.0,17.8,-1
77,133,231,231-kalainchora-100-kva,5,25.0121901,92.5048747,25.0,10.33,1
78,133,233,233-SPPS65 LAKHICHERA,5,25.0232498,92.4868399,16.0,29.0,-1
79,133,236,236-100 KVA KURKURI BHANGARPAR,1,24.9590683,92.5890967,100.0,85.49,1
80,133,241,241-BATULMARAGRANT J.T.E,5,24.9997139,92.4609219,25.0,32.69,-1
81,133,244,244-DUMKAR- SP-60 100 kVA,2,24.9677633,92.576205,100.0,108.58,-1
82,133,245,245-JALALPUR BAZAR,5,25.0009083,92.4550533,250.0,219.48,1
83,133,246,246-63-KVA,5,24.9869241,92.5360573,63.0,27.34,1
84,133,247,Punaparagrant mikirpunji1,5,24.9925378,92.5492918,16.0,8.07,1
85,133,249,Gonirgram-iii,7,24.8481474,92.6604985,25.0,18.95,1
86,133,257,Kalinagar-1,7,24.8709933,92.6136883,63.0,44.61,1
87,133,258,Gonigram-iii,7,24.8565724,92.6800705,25.0,43.31,-1
88,133,260,Gonigram-iv,7,24.8692375,92.6950907,16.0,5.89,1
89,133,263,Katirail T.E,8,24.9238133,92.5935917,25.0,3.0,1
90,133,264,Craigpark -4 NO Basti,5,25.013576,92.5176831,25.0,7.4,1
91,133,267,Tarinipur-iii,7,24.8717246,92.6329332,25.0,10.46,1
92,133,303,303-Menum Mikirpunji 25 kVA,5,25.000872,92.5033323,25.0,42.78,-1
93,133,306,306-KURKURI/BHANGARPAR,1,24.9568633,92.595415,100.0,56.12,1
94,133,307,Monipur-1 16 kVA,1,24.9542333,92.599904,16.0,40.24,-1
95,133,308,Sundhura near Kalain Bagan down,3,24.980374,92.5768837,100.0,111.14,-1
96,133,311,311-Behara Pt V (Kalacheri) (Dindayal) DT- 1,6,24.9108265,92.6196087,63.0,29.76,1
97,133,324,324-Chandinagar 25 kva(Dindayal),8,24.9182855,92.4990599,25.0,16.22,1
98,133,327,327-Rongpur 25 kva(Dindayal),2,24.9793367,92.4243933,25.0,10.0,1
99,133,328,328-Gobindapur-I 25 kva(Dindayal),6,24.9158295,92.6124281,25.0,11.52,1
100,133,331,331- Madar Pur (Dindayal) DT-1,8,24.8749171,92.5227254,25.0,7.890000000000001,1
101,133,333,333-Kalainchera-63- KVA,5,25.0121931,92.5071962,100.0,88.82,1
102,133,335,335-VITORKUL-16-KVA,5,24.991835,92.5424317,16.0,14.16,1
103,133,341,341-BANGARPAR BAZAR,9,24.9221483,92.6591983,100.0,124.02,-1
104,133,342,342-BHANGARPAR IV,9,24.9221694,92.6618018,100.0,69.69,1
105,133,347,347-Chandpur V 25 kva(Dindayal),9,24.8802459,92.6890964,25.0,21.3,1
106,133,350,350-Sonapur,9,24.8843978,92.6899701,63.0,63.03,-1
107,133,352,352-BIAKIMPUNJI-25-KVA,5,25.0206801,92.4596856,16.0,15.02,1
108,133,353,353-BOLASHARGRANT-16-.KVA,5,25.0046169,92.4539044,63.0,16.2,1
109,133,354,354-BISWAMBERPUR,5,25.0214017,92.4730373,100.0,60.31,1
110,133,357,357-10 KVA,5,25.0167264,92.491598,10.0,3.98,1
111,133,358,358-BALESWARGRANT,5,25.0063696,92.4527822,16.0,25.92,-1
112,133,359,359-BALESWARGRANT,5,25.0232986,92.4914376,16.0,10.9,1
113,133,361,361-CHANDPUR II,9,24.8894184,92.6716817,16.0,53.88,-1
114,133,362,362- GOBINDAKUPA,5,24.991042,92.5210683,63.0,121.06,-1
115,133,364,364-CHANDPUR,9,24.90004,92.663215,16.0,15.94,1
116,133,368,368-CHANDPUR III (BELAKONA),9,24.899173,92.6780843,63.0,51.46,1
117,133,369,369-CHANDPUR III,9,24.8925486,92.6711184,63.0,60.47,1
118,133,370,370-BHANGARPAR II,9,24.91913,92.6587917,100.0,162.0,-1
119,133,374,374-RANGHAR III,9,24.9076133,92.6750183,25.0,18.07,1
120,133,375,375-BHANGARPAR IV,9,24.9116679,92.6710812,63.0,77.16,-1
121,133,377,377-BHEWARPAR,9,24.9114717,92.668865,63.0,32.31,1
122,133,378,Bhangarpar IV (Near Police Outpost),9,24.9159429,92.6652852,63.0,74.47,-1
123,133,379,379- Digorkhal Bazar,5,24.9975538,92.5164057,250.0,167.37,1
124,133,384,384-CHANDPUR,1,24.9937032,92.5197963,25.0,31.64,-1
125,133,385,385-SONAPUR,9,24.9055355,92.6677673,100.0,21.06,1
126,133,386,386- KAYAJANI BASTI,5,24.9863721,92.5438292,25.0,14.63,1
127,133,387,387-16-SEWTI,5,25.0135693,92.5099502,16.0,22.26,-1
128,133,388,388-CHANDPUR II,9,24.891385,92.6665767,63.0,43.98,1
129,133,390,390-BHANGARPAR II,9,24.9150517,92.6500117,63.0,24.31,1
130,133,391,391-tingourI,9,24.939965,92.63556,63.0,54.01,1
131,133,392,392-SEWTI IV,9,24.9167167,92.6487085,63.0,52.37,1
132,133,394,394-16 KVA BARJATRAPUR,9,24.8945492,92.69898,25.0,32.78,-1
133,133,396,396-HIYERBOND-II,9,24.9057083,92.6912517,63.0,62.87,1
134,133,397,397-CHANDPUR III ( NEAR PETROL PUMP,9,24.9023721,92.6852968,63.0,96.2,-1
135,133,398,398-CHANDPUR IV- AKILTIKRI,9,24.8996317,92.69115,100.0,128.3,-1
136,133,406,406-Kalain TE.,3,24.87701,92.525155,25.0,7.09,1
137,133,411,411- Tarinipur I(Dindayal) DT-2,7,24.8797644,92.6306206,25.0,12.780000000000001,1
138,133,412,412- Karai Kandi I (Pahar Tilla) (Dindayal) DT- 2,8,24.8998967,92.5346967,25.0,19.47,1
139,133,415,415- Behara Pt VI (Goralalpar) (Dindayal),6,24.9216062,92.6127752,25.0,12.66,1
140,133,416,416 Mahadevpur II(Dindayal 234),2,24.9698104,92.4664566,25.0,15.66,1
141,133,417,SALIGRAM( BOLoRAM)25KVA  ,5,24.9868137,92.5676464,25.0,6.46,1
142,133,418,418- Sewti Pt I (Santi Pt I) (Monkey Tillah) (Dindayal),9,24.9392267,92.6616033,25.0,16.65,1
143,133,420,420-RAJPUR-I,2,24.982069,92.5097038,25.0,18.91,1
144,133,425,425-Mahadevpur,2,24.9597646,92.4814827,25.0,27.7,-1
145,133,434,SALIGRAM (SORARPAR)BOLO-NANKI,5,24.9882245,92.5672927,25.0,15.28,1
146,133,437,437 Talkargrant (Dinndayal),2,24.9881,92.4820433,25.0,7.08,1
147,133,439,439 Talkargrant Mahadebpur (Dindayal),2,24.9908449,92.4637696,25.0,7.5,1
148,133,441,CHANDPUR-III,9,24.8879282,92.6755052,25.0,2.9,1
149,133,445,445- Jagadishpur III (Bargoal) (Dindayal),8,24.9082989,92.5677021,16.0,4.62,1
150,133,447,447 Niz- Jalalpur III,2,24.9860917,92.5263133,63.0,41.24,1
151,133,448,448 Talkargrant (Dindayal),5,24.9970708,92.4813319,25.0,1.58,1
