,Cons No,Dtr No,Category,Load,Latitude,Longitude,d
110,133000011538,44,46,1.0,24.9707919,92.4921045,1
111,133000011537,44,46,1.0,24.9693406,92.4902489,1
112,133000011534,44,46,1.0,24.9701023,92.4890118,1
113,133000011533,44,46,0.2,24.9701023,92.4890118,1
114,133000011532,44,46,1.0,24.9497696,92.5006717,1
115,133000012569,44,46,0.06,24.9783387,92.5499756,1
116,133000011565,44,46,0.2,24.9693406,92.4902489,1
117,133000011566,44,46,0.22,24.9693406,92.4902489,1
118,133000011568,44,46,1.0,24.9667417,92.4905582,1
119,133000011597,44,46,1.0,24.9693406,92.4902489,1
120,133000011596,44,46,1.0,24.9693406,92.4902489,1
121,133000011595,44,46,1.0,24.9526583,92.4993167,1
122,133000011594,44,46,0.2,24.9693406,92.4902489,1
123,133000011593,44,46,1.0,24.9667416,92.490564,1
124,133000011592,44,46,0.2,24.9514398,92.4987029,1
125,133000011591,44,46,1.0,24.9540608,92.4955067,1
126,133000011590,44,46,0.2,24.9512416,92.4986803,1
127,133000011589,44,46,0.2,24.9512201,92.4986931,1
128,133000011588,44,46,0.2,24.9512975,92.4985664,1
129,133000011586,44,46,1.0,24.9707919,92.4921045,1
130,133000011585,44,46,1.0,24.8916478,92.5047866,1
131,133000011584,44,46,0.2,24.9711109,92.4951974,1
132,133000011583,44,46,1.0,24.9693406,92.4902489,1
133,133000011582,44,46,0.2,24.9707919,92.4921045,1
134,133000011580,44,46,0.2,24.9296637,92.5140684,1
135,133000011579,44,46,0.2,24.9508164,92.4982823,1
136,133000011578,44,46,1.0,24.9796459,92.5165439,1
137,133000011577,44,46,1.0,24.9761438,92.4822087,1
138,133000011576,44,46,1.0,24.9693406,92.4902489,1
139,133000011574,44,46,0.2,24.9297895,92.5286137,1
140,133000011572,44,46,0.2,24.95018,92.4980733,1
141,133000011570,44,46,1.0,24.9761438,92.4822087,1
142,133000011569,44,46,1.0,24.9693406,92.4902489,1
143,133000011567,44,46,0.2,24.9693406,92.4902489,1
144,133000012570,44,46,0.06,24.9693406,92.4902489,1
145,133000011564,44,46,0.2,24.8858365,92.4976718,1
146,133000012572,44,46,1.0,24.9701023,92.4890118,1
147,133000014028,44,46,0.06,24.9532283,92.499805,1
148,133000014030,44,46,1.0,24.9526846,92.4998246,1
149,133000014031,44,46,1.0,24.9693406,92.4902489,1
150,133000014245,44,46,0.06,24.9701023,92.4890118,1
151,133000014246,44,46,0.06,24.9796459,92.5165439,1
152,133000014247,44,46,0.06,24.9701023,92.4890118,1
153,133000014249,44,46,1.0,24.9701023,92.4890118,1
154,133000014448,44,46,1.0,24.9701023,92.4890118,1
155,133000050508,44,46,1.0,24.9796459,92.5165439,1
156,133000051124,44,46,1.0,24.952965,92.4989283,1
157,133000035713,44,46,0.57,24.9693406,92.4902489,1
158,133010071818,44,46,1.0,24.9667314,92.4911767,1
159,133000027042,44,46,0.67,24.9533517,92.4990967,1
160,133000012571,44,46,0.06,24.9701023,92.4890118,1
161,133000012580,44,46,1.0,24.9711263,92.4942695,1
162,133000012577,44,46,0.06,24.9546055,92.5072616,1
163,133000012575,44,46,1.0,24.9701023,92.4890118,1
164,133000012582,44,46,0.06,24.9693406,92.4902489,1
165,133000012581,44,46,1.0,24.9701023,92.4890118,1
166,133000012579,44,46,0.06,24.9701023,92.4890118,1
167,133000012573,44,46,0.06,24.9701023,92.4890118,1
168,133000012576,44,46,0.06,24.9701023,92.4890118,1
169,133000012036,46,46,1.0,25.0059384,92.5275029,1
170,133000012034,46,46,0.06,25.0088333,92.5250183,1
171,133000012038,46,46,0.06,25.00802,92.527795,1
172,133000012033,46,46,0.06,25.0085484,92.524972,1
173,133000012039,46,46,0.06,25.0080053,92.5278222,1
174,133000012040,46,46,1.0,25.0093293,92.5240988,1
175,133000012041,46,46,0.06,25.0088119,92.52614,1
176,133000012042,46,46,1.0,24.975135,92.5690133,1
177,133000012043,46,46,0.06,25.0083867,92.5269533,1
178,133000012044,46,46,0.06,25.0082726,92.5274325,1
179,133000012037,46,46,0.06,25.0091967,92.5273467,1
180,133000012045,46,46,0.06,25.0093464,92.5239815,1
181,133000012032,46,46,0.06,25.0084617,92.5249167,1
182,133000012067,46,46,0.06,24.9986095,92.5125213,1
183,133000012066,46,46,0.06,25.0087399,92.524494,1
184,133000012065,46,46,0.06,25.0088391,92.5244108,1
185,133000012063,46,46,1.0,25.0081787,92.5248554,1
186,133000012062,46,46,0.06,24.9798786,92.5682494,1
187,133000012060,46,46,0.06,25.0089737,92.5246218,1
188,133000012059,46,46,0.06,24.9751105,92.56902,1
189,133000012058,46,46,0.06,25.0031386,92.507571,1
190,133000012057,46,46,0.06,25.0074267,92.5272917,1
191,133000012056,46,46,0.06,25.0021268,92.5236616,1
192,133000012055,46,46,0.06,25.007845,92.527155,1
193,133000012054,46,46,0.06,25.0021268,92.5236616,1
194,133000012053,46,46,0.06,24.975135,92.5690133,1
195,133000012052,46,46,1.0,25.0086761,92.5279254,1
196,133000012051,46,46,0.06,25.0021268,92.5236616,1
197,133000012050,46,46,1.0,25.0086767,92.5273717,1
198,133000012049,46,46,0.06,25.0076555,92.5275281,1
199,133000012048,46,46,1.0,25.0087208,92.5271974,1
200,133000012046,46,46,1.0,25.0093584,92.5238905,1
201,133000022018,46,46,0.57,25.0095157,92.5270041,1
202,133000012031,46,46,0.06,25.0086286,92.5251983,1
203,133000035633,46,46,0.52,25.0091,92.524325,1
204,133000012029,46,46,0.06,25.0084668,92.5254115,1
205,133000022023,46,46,0.47,25.0062617,92.527105,1
206,133000022024,46,46,0.57,25.0084133,92.5242083,1
207,133000013951,46,46,0.06,24.9989748,92.5128307,1
208,133000022025,46,46,0.62,25.0057883,92.5286167,1
209,133000022026,46,46,0.52,25.0088233,92.5246283,1
210,133000022027,46,46,0.56,25.0085667,92.5263833,1
211,133000038718,46,46,1.0,25.0091017,92.5242667,1
212,133000013950,46,46,0.06,24.975168,92.5689777,1
213,133000022029,46,46,0.46,25.0089179,92.5280701,1
214,133000013949,46,46,0.06,25.0093642,92.5119025,1
215,133000013948,46,46,0.06,25.0093642,92.5119025,1
216,133000013947,46,46,0.06,24.9974767,92.5258567,1
217,133000013946,46,46,0.06,24.9784551,92.5648419,1
218,133000022028,46,46,0.42,25.0021268,92.5236616,1
219,133000012030,46,46,0.06,25.0091081,92.5248526,1
220,133000013952,46,46,1.0,25.0094333,92.5272483,1
221,133000022019,46,46,0.46,25.0064364,92.5267567,1
222,133000012028,46,46,0.06,25.0087952,92.5250382,1
223,133000012027,46,46,0.06,25.0087812,92.5256244,1
224,133000013945,46,46,0.06,25.015345,92.5175133,1
225,133000047127,46,43,0.49,25.0079377,92.5264904,1
226,133000045211,46,46,0.49,25.0089967,92.526835,1
227,133010072997,46,46,1.0,25.00983,92.52713,1
228,133000022020,46,46,4.0,25.0063517,92.5266617,1
229,133000025175,46,46,0.62,25.0074627,92.5276073,1
230,133000013955,46,46,0.06,25.0031438,92.5072616,1
231,133000013954,46,46,0.06,25.0153369,92.5175356,1
232,133000013953,46,46,0.06,25.0134233,92.51743,1
233,133000037020,46,46,1.0,25.0063517,92.5266617,1
234,133000019949,46,46,0.68,25.009046,92.5258117,1
235,133000025176,46,46,0.43,25.0060486,92.5269698,1
236,133000012069,46,46,0.06,25.0082683,92.52715,1
237,133000012068,46,46,0.06,25.0089885,92.5122119,1
238,133000012071,46,46,0.06,25.008745,92.5276383,1
239,133000014393,46,46,0.06,25.0024816,92.5245901,1
240,133010072559,46,46,1.0,25.0080967,92.5295467,1
241,133000014394,46,46,0.06,25.015345,92.5175133,1
242,133000014395,46,46,0.06,25.015345,92.5175133,1
243,133000014396,46,46,1.0,25.0090194,92.5248181,1
244,133000014397,46,46,1.0,25.008985,92.5261167,1
245,133000014398,46,46,0.06,24.986075,92.5307804,1
246,133000022005,46,46,0.31,25.0021268,92.5236616,1
247,133010071820,46,46,1.0,25.0089363,92.5266527,1
248,133000022006,46,46,0.47,25.0074433,92.527155,1
249,133000012070,46,46,0.06,25.0021268,92.5236616,1
250,133000014399,46,46,0.06,25.015345,92.5175133,1
251,133000014400,46,46,0.06,25.015345,92.5175133,1
252,133010072526,46,46,0.49,25.0079933,92.5264883,1
253,133000045864,46,43,0.49,25.008577,92.5281298,1
254,133000022007,46,46,0.31,25.0075267,92.5284283,1
255,133000042946,46,46,0.49,25.007454,92.5275711,1
256,133000042944,46,46,0.49,25.00622,92.5268033,1
257,133000042943,46,46,0.49,25.0089867,92.5265967,1
