,Dtr No2,Total Load,Sub Div Code,Dtr No,DTR Name,Feeder No,Capacity,Latitude,Longitude,comparison_column
257,470,22.13,133.0,2084,CHANDINAGAR PT II NEAR LP SCHOOL 25,8.0,25  kVA,24.9218404,92.4947131,False
258,471,36.28,133.0,2087,NANDIRPAR NEAR BSF CAMP,2.0,63  kVA,24.9540415,92.4975261,False
259,501,68.42999999999999,133.0,2089,KUNAPARAGRANT,5.0,16  kVA,24.9901817,92.54935,False
260,503,98.43,133.0,2090,Lakhipur PT I (Near Baliuna),6.0,25  kVA,24.959521,92.5740704,False
261,504,93.34,133.0,2091,Lakhipur PT I (Near Forest Gate),6.0,100 kVA,24.962372,92.578251,False
262,505,144.22,133.0,2092,LEVERPUTA II,2.0,16  kVA,24.9554018,92.4854721,False
263,506,232.0,133.0,2099,LEVERPUTA I,2.0,63  kVA,24.9460569,92.4629548,False
264,507,105.55,133.0,2103,JAGADISHPUR V,8.0,25  kVA,24.9026655,92.5598498,False
265,508,298.12,133.0,2105,LEVERPUTA II,2.0,25  kVA,24.9482087,92.476852,False
266,509,14.049999999999999,133.0,2106,JAGADISHPUR V,8.0,25  kVA,24.893199,92.5580641,False
267,512,97.89,133.0,2108,RONGHAR I,9.0,25  kVA,24.9227016,92.6727785,False
268,513,106.46,133.0,2109,JALALPUR ( DONARPAR ),2.0,25  kVA,24.9753592,92.4544688,False
269,514,44.92,133.0,2110,JALALPUR ( DONARPAR ),2.0,63  kVA,24.9768917,92.4521483,False
270,515,93.8,133.0,2111,Natanpur ongc,2.0,25  kVA,24.9953112,92.4313496,False
271,516,93.28,133.0,2113,DIGABOR GRANT,2.0,25  kVA,24.9454595,92.5485232,False
272,517,65.42,133.0,2119,khelma part ii,2.0,25  kVA,24.963094,92.4865513,False
273,518,20.21,133.0,2120,khelma part ii,2.0,25  kVA,24.9607826,92.4857204,False
274,519,90.31,133.0,2121,khrelma part ii,2.0,25  kVA,24.9576266,92.4866441,False
275,520,31.15,133.0,2122,GOALNAGAR,2.0,25  kVA,24.9591752,92.4823453,False
276,522,10.62,133.0,2138,MAHADEVPUR III,2.0,63  kVA,24.9622032,92.471702,False
277,523,47.31,133.0,2140,barjatrapur(near public school),9.0,63  kVA,24.9024318,92.6922736,False
278,524,75.08,133.0,2141,barjatrapur bus stand,9.0,250 kVA,24.9030752,92.7054417,False
279,525,313.79,133.0,2142,NATANPUR  CHOUMATHA,2.0,25  kVA,24.9994617,92.4271217,False
280,526,54.29,133.0,2144,GOKULNAGAR,5.0,25  kVA,25.0098,92.5022417,False
281,609,22.99,133.0,2185,MOHANPUR-I DDUGJY21,6.0,25  kVA,24.9100576,92.6016071,False
282,616,24.68,133.0,2210,BIHARA PT V DDUGJY21,9.0,63  kVA,24.9272683,92.6314067,False
283,620,47.58,133.0,2214,NIZ FULBARI PT I DDUGJY21,7.0,25  kVA,24.86611,92.618435,False
284,629,111.31,133.0,2223,SARASAPUR 1 DDUGJY21,2.0,25  kVA,24.9809245,92.5015992,False
285,637,7.59,133.0,2246,DUDPUR LAMARGAM,7.0,25  kVA,24.8758644,92.6528798,False
286,641,11.45,133.0,2255,BOROITOLI NEAR DIGABOR TE,2.0,16  kVA,24.9444695,92.5571892,False
