,Dtr No2,Total Load,Sub Div Code,Dtr No,DTR Name,Feeder No,Capacity,Latitude,Longitude,comparison_column
61,159,62.36,133.0,202,202-CHALIGRAM,5.0,16  kVA,24.9854924,92.5705834,False
62,160,134.79,133.0,203,203-DHUMKAR CHALIRGRAM,5.0,100 kVA,24.9753902,92.5707701,False
63,161,115.98,133.0,204,204-CHOLIGRAM 63KV,5.0,63  kVA,24.9812422,92.5660439,False
64,162,36.6,133.0,205,205-GOBINDOKUPA,5.0,25  kVA,24.9976379,92.5256959,False
65,164,61.73,133.0,206,206-MEZENTA A,5.0,25  kVA,24.9969822,92.5761275,False
66,165,37.94,133.0,208,208-soligram 63-kva,5.0,100 kVA,24.9753915,92.5700057,False
67,166,15.79,133.0,210,210-majanta-te-16-kva,5.0,16  kVA,24.9978367,92.5670533,False
68,168,112.62,133.0,212,212-mougram 16-kva,5.0,16  kVA,24.98784,92.5492533,False
69,169,32.74,133.0,213,213-63-KVA,9.0,63  kVA,24.948225,92.6438217,False
70,170,40.14,133.0,214,214-buranga-2--100 kVA,9.0,100 kVA,24.9509467,92.6202567,False
71,171,22.419999999999998,133.0,215,215-bELTILLA-16-kva,5.0,16  kVA,24.9953417,92.4941183,False
72,172,87.46,133.0,220,220-GUMRAH BAZAR,2.0,250 kVA,24.9535133,92.5436405,False
73,173,13.23,133.0,222,Gumrah Kandigram (Near Sitaram Mandir),2.0,100 kVA,24.9717386,92.5116168,False
74,174,63.9,133.0,225,225-DIGORKHAL,5.0,25  kVA,24.9899721,92.517014,False
75,176,69.46,133.0,229,229-RAJESHWARPUR II,5.0,16  kVA,24.9917735,92.4835377,False
76,177,51.13,133.0,230,230-megenta te 16-kva,5.0,16  kVA,24.9967802,92.5714094,False
77,178,8.59,133.0,231,231-kalainchora-100-kva,5.0,25  kVA,25.0121901,92.5048747,False
78,179,26.45,133.0,233,233-SPPS65 LAKHICHERA,5.0,16  kVA,25.0232498,92.4868399,False
79,180,14.47,133.0,236,236-100 KVA KURKURI BHANGARPAR,1.0,100 kVA,24.9590683,92.5890967,False
80,181,47.95,133.0,241,241-BATULMARAGRANT J.T.E,5.0,25  kVA,24.9997139,92.4609219,False
81,182,16.87,133.0,244,244-DUMKAR- SP-60 100 kVA,2.0,100 kVA,24.9677633,92.576205,False
82,183,48.05,133.0,245,245-JALALPUR BAZAR,5.0,250 kVA,25.0009083,92.4550533,False
83,187,73.19,133.0,246,246-63-KVA,5.0,63  kVA,24.9869241,92.5360573,False
84,189,40.33,133.0,247,Punaparagrant mikirpunji1,5.0,16  kVA,24.9925378,92.5492918,False
85,190,25.73,133.0,249,Gonirgram-iii,7.0,25  kVA,24.8481474,92.6604985,False
86,202,16.169999999999998,133.0,257,Kalinagar-1,7.0,63  kVA,24.8709933,92.6136883,False
87,203,67.11,133.0,258,Gonigram-iii,7.0,25  kVA,24.8565724,92.6800705,False
88,204,49.14,133.0,260,Gonigram-iv,7.0,16  kVA,24.8692375,92.6950907,False
89,205,38.28,133.0,263,Katirail T.E,8.0,25  kVA,24.9238133,92.5935917,False
90,206,42.86,133.0,264,Craigpark -4 NO Basti,5.0,25  kVA,25.013576,92.5176831,False
91,208,102.17999999999999,133.0,267,Tarinipur-iii,7.0,25  kVA,24.8717246,92.6329332,False
92,209,26.62,133.0,303,303-Menum Mikirpunji 25 kVA,5.0,25  kVA,25.000872,92.5033323,False
93,210,11.77,133.0,306,306-KURKURI/BHANGARPAR,1.0,100 kVA,24.9568633,92.595415,False
94,212,24.01,133.0,307,Monipur-1 16 kVA,1.0,16  kVA,24.9542333,92.599904,False
95,213,62.14,133.0,308,Sundhura near Kalain Bagan down,3.0,100 kVA,24.980374,92.5768837,False
96,214,154.95,133.0,311,311-Behara Pt V (Kalacheri) (Dindayal) DT- 1,6.0,63  kVA,24.9108265,92.6196087,False
97,215,16.0,133.0,324,324-Chandinagar 25 kva(Dindayal),8.0,25  kVA,24.9182855,92.4990599,False
98,220,108.92999999999999,133.0,327,327-Rongpur 25 kva(Dindayal),2.0,25  kVA,24.9793367,92.4243933,False
99,221,36.35,133.0,328,328-Gobindapur-I 25 kva(Dindayal),6.0,25  kVA,24.9158295,92.6124281,False
100,222,86.46,133.0,331,331- Madar Pur (Dindayal) DT-1,8.0,25  kVA,24.8749171,92.5227254,False
101,224,8.37,133.0,333,333-Kalainchera-63- KVA,5.0,100 kVA,25.0121931,92.5071962,False
102,225,21.19,133.0,335,335-VITORKUL-16-KVA,5.0,16  kVA,24.991835,92.5424317,False
103,229,20.69,133.0,341,341-BANGARPAR BAZAR,9.0,100 kVA,24.9221483,92.6591983,False
104,230,17.8,133.0,342,342-BHANGARPAR IV,9.0,100 kVA,24.9221694,92.6618018,False
105,231,10.33,133.0,347,347-Chandpur V 25 kva(Dindayal),9.0,25  kVA,24.8802459,92.6890964,False
106,232,78.06,133.0,350,350-Sonapur,9.0,63  kVA,24.8843978,92.6899701,False
107,233,29.0,133.0,352,352-BIAKIMPUNJI-25-KVA,5.0,16  kVA,25.0206801,92.4596856,False
108,234,62.48,133.0,353,353-BOLASHARGRANT-16-.KVA,5.0,63  kVA,25.0046169,92.4539044,False
109,235,115.89,133.0,354,354-BISWAMBERPUR,5.0,100 kVA,25.0214017,92.4730373,False
110,236,85.49,133.0,357,357-10 KVA,5.0,10  kVA,25.0167264,92.491598,False
111,237,41.83,133.0,358,358-BALESWARGRANT,5.0,16  kVA,25.0063696,92.4527822,False
112,238,46.56,133.0,359,359-BALESWARGRANT,5.0,16  kVA,25.0232986,92.4914376,False
113,241,32.69,133.0,361,361-CHANDPUR II,9.0,16  kVA,24.8894184,92.6716817,False
114,244,108.58,133.0,362,362- GOBINDAKUPA,5.0,63  kVA,24.991042,92.5210683,False
115,245,219.48,133.0,364,364-CHANDPUR,9.0,16  kVA,24.90004,92.663215,False
116,246,27.34,133.0,368,368-CHANDPUR III (BELAKONA),9.0,63  kVA,24.899173,92.6780843,False
117,247,8.07,133.0,369,369-CHANDPUR III,9.0,63  kVA,24.8925486,92.6711184,False
118,248,17.27,133.0,370,370-BHANGARPAR II,9.0,100 kVA,24.91913,92.6587917,False
119,249,18.95,133.0,374,374-RANGHAR III,9.0,25  kVA,24.9076133,92.6750183,False
120,253,10.620000000000001,133.0,375,375-BHANGARPAR IV,9.0,63  kVA,24.9116679,92.6710812,False
121,257,44.61,133.0,377,377-BHEWARPAR,9.0,63  kVA,24.9114717,92.668865,False
122,258,43.31,133.0,378,Bhangarpar IV (Near Police Outpost),9.0,63  kVA,24.9159429,92.6652852,False
123,260,5.890000000000001,133.0,379,379- Digorkhal Bazar,5.0,250 kVA,24.9975538,92.5164057,False
124,261,13.89,133.0,384,384-CHANDPUR,1.0,25  kVA,24.9937032,92.5197963,False
125,263,3.0,133.0,385,385-SONAPUR,9.0,100 kVA,24.9055355,92.6677673,False
126,264,7.4,133.0,386,386- KAYAJANI BASTI,5.0,25  kVA,24.9863721,92.5438292,False
127,265,5.890000000000001,133.0,387,387-16-SEWTI,5.0,16  kVA,25.0135693,92.5099502,False
128,267,10.46,133.0,388,388-CHANDPUR II,9.0,63  kVA,24.891385,92.6665767,False
129,268,12.18,133.0,390,390-BHANGARPAR II,9.0,63  kVA,24.9150517,92.6500117,False
130,300,24.44,133.0,391,391-tingourI,9.0,63  kVA,24.939965,92.63556,False
131,301,138.74,133.0,392,392-SEWTI IV,9.0,63  kVA,24.9167167,92.6487085,False
132,302,155.25,133.0,394,394-16 KVA BARJATRAPUR,9.0,25  kVA,24.8945492,92.69898,False
133,303,42.78,133.0,396,396-HIYERBOND-II,9.0,63  kVA,24.9057083,92.6912517,False
134,305,30.11,133.0,397,397-CHANDPUR III ( NEAR PETROL PUMP,9.0,63  kVA,24.9023721,92.6852968,False
135,306,56.12,133.0,398,398-CHANDPUR IV- AKILTIKRI,9.0,100 kVA,24.8996317,92.69115,False
136,307,40.24,133.0,406,406-Kalain TE.,3.0,25  kVA,24.87701,92.525155,False
137,308,111.14,133.0,411,411- Tarinipur I(Dindayal) DT-2,7.0,25  kVA,24.8797644,92.6306206,False
138,311,29.76,133.0,412,412- Karai Kandi I (Pahar Tilla) (Dindayal) DT- 2,8.0,25  kVA,24.8998967,92.5346967,False
139,312,274.67,133.0,415,415- Behara Pt VI (Goralalpar) (Dindayal),6.0,25  kVA,24.9216062,92.6127752,False
140,313,32.45,133.0,416,416 Mahadevpur II(Dindayal 234),2.0,25  kVA,24.9698104,92.4664566,False
141,314,52.52,133.0,417,SALIGRAM( BOLoRAM)25KVA  ,5.0,25  kVA,24.9868137,92.5676464,False
142,315,78.62,133.0,418,418- Sewti Pt I (Santi Pt I) (Monkey Tillah) (Dindayal),9.0,25  kVA,24.9392267,92.6616033,False
143,316,25.89,133.0,420,420-RAJPUR-I,2.0,25  kVA,24.982069,92.5097038,False
144,317,16.49,133.0,425,425-Mahadevpur,2.0,25  kVA,24.9597646,92.4814827,False
145,322,41.36,133.0,434,SALIGRAM (SORARPAR)BOLO-NANKI,5.0,25  kVA,24.9882245,92.5672927,False
146,324,16.22,133.0,437,437 Talkargrant (Dinndayal),2.0,25  kVA,24.9881,92.4820433,False
147,325,5.29,133.0,439,439 Talkargrant Mahadebpur (Dindayal),2.0,25  kVA,24.9908449,92.4637696,False
148,326,9.21,133.0,441,CHANDPUR-III,9.0,25  kVA,24.8879282,92.6755052,False
149,327,10.0,133.0,445,445- Jagadishpur III (Bargoal) (Dindayal),8.0,16  kVA,24.9082989,92.5677021,False
150,328,11.52,133.0,447,447 Niz- Jalalpur III,2.0,63  kVA,24.9860917,92.5263133,False
151,329,47.64,133.0,448,448 Talkargrant (Dindayal),5.0,25  kVA,24.9970708,92.4813319,False
152,331,7.890000000000001,133.0,450,450- Karai Kandi I (Pahar Tilla) (Dindayal) DT- 1,8.0,25  kVA,24.894895,92.534905,False
153,332,6.37,133.0,452,VitorgongapurPt-i 25KVA,201.0,25  kVA,24.9435914,92.7130857,False
154,333,88.82000000000001,133.0,453,KHELMA PT-II,2.0,25  kVA,25.0205482,92.4800435,False
155,334,39.82,133.0,455,Mahadevpur Pt-I (Sriguru Nagar)  25 KVA,2.0,25  kVA,24.9940235,92.4648439,False
156,335,14.16,133.0,457,457-Gobindapur-I (Purba Gobingapur) (Dindayal),6.0,25  kVA,24.9032183,92.6291663,False
157,341,124.02,133.0,461,461-TALKARGRANT (DINDAYAL),2.0,25  kVA,24.9882,92.4782,False
158,342,69.69,133.0,462,462- MANIPUR-I (DINDAYAL),1.0,25  kVA,24.9542733,92.5999867,False
159,346,49.47,133.0,468,468- Gumra Grant (Gumrah Gaon) (Dindayal),2.0,25  kVA,25.00333,92.4379412,False
160,347,21.3,133.0,470,Saidpur Pt I(nadirpar)  25KVA,8.0,63  kVA,24.9535454,92.4977021,False
161,350,63.03,133.0,471,Biswambarpur(Kushiarkul) 25KVA,2.0,25  kVA,24.9887397,92.4497036,False
162,352,15.02,133.0,501,501-KATIRAIL TE,6.0,63  kVA,24.8950853,92.5848685,False
163,353,16.2,133.0,503,503-SIDDIPUR,6.0,63  kVA,24.8791867,92.5889313,False
164,354,60.31,133.0,504,504-KATIRAIL,6.0,250 kVA,24.9071669,92.5906105,False
165,355,46.1,133.0,505,505-SIDDIPUR,6.0,250 kVA,24.8799917,92.592355,False
166,357,3.98,133.0,506,506-KATIRAIL,6.0,250 kVA,24.8813983,92.5869067,False
167,358,25.92,133.0,507,507-NOON NAGAR,6.0,250 kVA,24.8948477,92.5933483,False
168,359,10.9,133.0,508,508-TIKARPARA,6.0,250 kVA,24.895545,92.5906833,False
169,360,59.03,133.0,509,509-SIDDESWAR,6.0,25  kVA,24.9204385,92.6071119,False
170,361,53.88,133.0,512,512-BEHARA VI (TINTIKRI),6.0,63  kVA,24.9172384,92.6116583,False
171,362,121.06,133.0,513,513-KATIRAIL TE,6.0,100 kVA,24.9246221,92.5872981,False
172,363,21.45,133.0,514,514-NOONNAGAR,6.0,25  kVA,24.8898925,92.5946527,False
173,364,15.94,133.0,515,515-KATIRAIL,6.0,100 kVA,24.956905,92.5836833,False
174,365,58.58,133.0,516,516-MODUA,6.0,100 kVA,24.956765,92.5836719,False
175,366,144.3,133.0,517,517-NOONNAGAR,6.0,100 kVA,24.9308471,92.5967586,False
176,367,186.10999999999999,133.0,519,519-HILARA-,6.0,100 kVA,24.9349393,92.595152,False
177,368,51.46,133.0,520,520-CHOUDHURY PARA,6.0,25  kVA,24.922148,92.6008619,False
178,369,60.47,133.0,521,521-Hilara pamp,6.0,63  kVA,24.9252267,92.5910217,False
179,370,162.0,133.0,522,522-Bihara-V Kolachoripar,6.0,25  kVA,24.9103985,92.6333258,False
180,371,22.17,133.0,523,523-CHELLAH,6.0,63  kVA,24.9054262,92.6318967,False
181,372,15.61,133.0,524,524-LAKHIPUR III,6.0,250 kVA,24.9470206,92.588204,False
182,373,42.63,133.0,525,525-CHABAGAN,6.0,250 kVA,24.8790639,92.5832123,False
183,374,18.07,133.0,526,526-BOROITOLI-V SP-44,6.0,25  kVA,24.9285067,92.5863767,False
184,375,77.16,133.0,527,527-MOHANPUR-I,6.0,25  kVA,24.9110925,92.6023822,False
185,376,24.32,133.0,529,529-HILARA TE,6.0,16  kVA,24.9351707,92.5947399,False
186,377,32.31,133.0,530,530-LAKHIPUR-I,6.0,16  kVA,24.9609735,92.5743585,False
187,378,74.47,133.0,531,531-HILARA PUMP,6.0,100 kVA,24.9403662,92.5909925,False
188,379,167.37,133.0,601,601-siddeshwar-63-kva,8.0,63  kVA,24.8770333,92.5772583,False
189,380,63.98,133.0,602,602-kathigorha-63-kva,8.0,100 kVA,24.8820036,92.5660643,False
190,381,34.06,133.0,603,603-charagibazar-250-kva,8.0,250 kVA,24.8812017,92.5551839,False
191,382,78.61,133.0,604,604-kathigorha-63-kva,8.0,63  kVA,24.8851333,92.5567267,False
192,384,31.64,133.0,605,605-KATIGORAH OLD 250,8.0,250 kVA,24.8776867,92.5687733,False
193,385,21.06,133.0,607,607-JAGADISHPUR 100,8.0,100 kVA,24.888185,92.5567798,False
194,386,14.63,133.0,609,609-haritakar-16-kva,8.0,16  kVA,24.8880117,92.5122867,False
195,387,22.26,133.0,610,610-LATHIMARA-100-KVA,8.0,250 kVA,24.8811583,92.5552333,False
196,388,43.98,133.0,611,Haritakar,8.0,25  kVA,24.883685,92.51593,False
197,389,71.39,133.0,612,612-LATHIMARA-16-KVA,8.0,16  kVA,24.8750363,92.5431181,False
198,390,24.31,133.0,614,614-KATIGORAH II 100,8.0,100 kVA,24.9087452,92.5796577,False
199,391,54.01,133.0,615,615-KATHIGORHA-25-KVA-,8.0,25  kVA,24.9051417,92.577825,False
200,392,52.37,133.0,616,616-KATHIGORHA-16-KVA,8.0,63  kVA,24.9072967,92.5788033,False
201,393,17.18,133.0,619,619-niz kathigorha-16-kva,8.0,16  kVA,24.90034,92.5776933,False
202,394,32.78,133.0,623,623-JAGADISHPUR V 100,8.0,100 kVA,24.8987683,92.5589963,False
203,395,8.02,133.0,624,624-JAGADISHPUR IV 63,8.0,63  kVA,24.8918896,92.5681629,False
204,396,62.87,133.0,626,626-JAGADISHPUR IV 63,8.0,63  kVA,24.8974796,92.5680284,False
